날짜,인원수(명)
2025.08.27,0
2025.08.28,100
2025.09.02,200
2025.09.16,300
2025.10.05,400
2025.11.01,490
2025.11.02,500
2025.11.03,507
2025.11.04,507
2025.11.05,508
2025.11.06,518
2025.11.07,522
2025.11.08,525
2025.11.09,528
2025.11.10,532
2025.11.11,536
2025.11.12,540
2025.11.13,549
2025.11.14,562
2025.11.15,563
2025.11.16,566
2025.11.17,572
2025.11.18,578
2025.11.19,592
2025.11.20,598
2025.11.21,599
2025.11.22,600
2025.11.23,625
2025.11.24,629
2025.11.25,638
2025.11.26,645
2025.11.27,649
2025.11.28,652
2025.11.29,671
2025.11.30,681
2025.12.01,683
2025.12.02,689
2025.12.03,692
2025.12.04,700
2025.12.05,707
2025.12.06,711
2025.12.07,725
2025.12.08,733
2025.12.09,739
2025.12.10,739
2025.12.11,746
2025.12.12,743
2025.12.13,746
2025.12.14,748
2025.12.15,748
2025.12.16,754
2025.12.17,761
2025.12.18,768
2025.12.19,771
2025.12.20,764
2025.12.21,772
2025.12.22,774
2025.12.23,776
2025.12.24,775
2025.12.25,770
2025.12.26,770
2025.12.27,765
,
